date,Direction,PrevClose,Open,High,Low,Close,ClosePctChange,IntradayRangePct
2022-01-27,DOWN,2709.239990234375,2709.239990234375,2722.860107421875,2614.489990234375,2614.489990234375,-3.4973,4.0
2022-06-13,DOWN,2595.8701171875,2550.2099609375,2550.320068359375,2504.510009765625,2504.510009765625,-3.5194,1.7647
2022-09-26,DOWN,2290.0,2260.800048828125,2260.800048828125,2215.360107421875,2220.93994140625,-3.0157,1.9843
2022-11-11,UP,2402.22998046875,2466.89990234375,2486.4599609375,2463.510009765625,2483.159912109375,3.369,0.9554
2023-11-06,UP,2368.340087890625,2399.800048828125,2502.3701171875,2395.030029296875,2502.3701171875,5.6592,4.5323
2024-08-02,DOWN,2777.679931640625,2719.389892578125,2725.050048828125,2666.39990234375,2676.18994140625,-3.6538,2.1115
2024-08-05,DOWN,2676.18994140625,2611.300048828125,2611.300048828125,2386.9599609375,2441.550048828125,-8.7677,8.3828
2024-08-06,UP,2441.550048828125,2533.340087890625,2578.77001953125,2491.469970703125,2522.14990234375,3.3012,3.5756
2024-09-04,DOWN,2664.6298828125,2589.93994140625,2608.1298828125,2578.070068359375,2580.800048828125,-3.146,1.1281
2025-02-28,DOWN,2621.75,2585.610107421875,2586.780029296875,2531.239990234375,2532.780029296875,-3.3935,2.1184
2025-03-31,DOWN,2557.97998046875,2513.43994140625,2514.219970703125,2479.4599609375,2481.1201171875,-3.0047,1.3589
2025-04-07,DOWN,2465.419921875,2359.25,2369.39990234375,2327.010009765625,2328.199951171875,-5.5658,1.7194
2025-04-10,UP,2293.699951171875,2395.1298828125,2445.06005859375,2391.389892578125,2445.06005859375,6.5989,2.3399
2025-08-01,DOWN,3245.43994140625,3210.320068359375,3210.320068359375,3117.919921875,3119.409912109375,-3.8833,2.8471
2025-11-10,UP,3953.760009765625,3991.8701171875,4092.909912109375,3984.239990234375,4073.239990234375,3.0219,2.7485
2025-11-14,DOWN,4170.6298828125,4061.909912109375,4092.760009765625,4011.39990234375,4011.570068359375,-3.8138,1.9508
2025-11-18,DOWN,4089.25,4044.469970703125,4072.409912109375,3953.260009765625,3953.6201171875,-3.3167,2.9137
2025-11-21,DOWN,4004.85009765625,3908.699951171875,3911.550048828125,3838.4599609375,3853.260009765625,-3.7852,1.825
2026-01-05,UP,4309.6298828125,4385.919921875,4457.52001953125,4381.93017578125,4457.52001953125,3.4316,1.754
2026-02-02,DOWN,5224.35986328125,5122.6201171875,5196.7099609375,4933.580078125,4949.669921875,-5.2579,5.0366
2026-02-03,UP,4949.669921875,5114.81005859375,5288.080078125,5101.31005859375,5288.080078125,6.837,3.7734
2026-02-05,DOWN,5371.10009765625,5251.02978515625,5304.39990234375,5142.2001953125,5163.56982421875,-3.8638,3.0199
2026-02-09,UP,5089.14013671875,5299.10009765625,5322.35009765625,5265.080078125,5298.0400390625,4.1048,1.1253
2026-02-12,UP,5354.490234375,5425.39013671875,5522.27001953125,5399.52001953125,5522.27001953125,3.1334,2.2925
2026-02-19,UP,5507.009765625,5642.08984375,5681.64990234375,5614.97021484375,5677.25,3.0913,1.2108
2026-02-26,UP,6083.85986328125,6121.02978515625,6313.27001953125,6107.41015625,6307.27001953125,3.6722,3.3837
2026-03-03,DOWN,6244.1298828125,6165.14990234375,6180.4501953125,5791.64990234375,5791.91015625,-7.2423,6.2267
2026-03-04,DOWN,5791.91015625,5592.58984375,5672.1201171875,5059.4501953125,5093.5400390625,-12.0577,10.578
2026-03-05,UP,5093.5400390625,5250.919921875,5715.2998046875,5248.1298828125,5634.509765625,10.6207,9.1718
